name	TF
LHX3	yes
LHX4	yes
LHX5	yes
LHX6	yes
LHX8	yes
LHX9	yes
LMX1A	yes
LMX1B	yes
MEIS1	yes
MEIS2	yes
MEIS3	yes
MEOX1	yes
MEOX2	yes
MIXL1	yes
MKX	yes
MNX1	yes
MSX1	yes
MSX2	yes
NANOG	yes
NANOGNB	yes
NANOGP8	yes
NKX1-1	yes
NKX1-2	yes
NKX2-1	yes
NKX2-2	yes
NKX2-3	yes
NKX2-4	yes
NKX2-5	yes
NKX2-6	yes
NKX2-8	yes
NKX3-1	yes
NKX3-2	yes
NKX6-1	yes
NKX6-2	yes
NKX6-3	yes
NOBOX	yes
NOTO	yes
OTP	yes
OTX1	yes
OTX2	yes
PBX1	yes
PBX2	yes
PBX3	yes
PBX4	yes
PDX1	yes
PHOX2A	yes
PHOX2B	yes
PITX1	yes
PITX2	yes
PITX3	yes
PKNOX1	yes
PKNOX2	yes
PROP1	yes
PRRX1	yes
PRRX2	yes
RAX	yes
RAX2	yes
RHOXF1	yes
RHOXF2	yes
RHOXF2B	yes
SEBOX	yes
SHOX	yes
SHOX2	yes
SIX1	yes
SIX2	yes
SIX3	yes
SIX4	yes
SIX5	yes
SIX6	yes
TGIF1	yes
TGIF2	yes
TGIF2LX	yes
TGIF2LY	yes
TLX1	yes
TLX2	yes
TLX3	yes
TPRX1	yes
UNCX	yes
VAX1	yes
VAX2	yes
VENTX	yes
VSX1	yes
VSX2	yes
ZFHX2	yes
ZHX1	yes
ZHX2	yes
ZHX3	yes
PAX2	yes
PAX3	yes
PAX4	yes
PAX6	yes
PAX7	yes
POU1F1	yes
POU2F1	yes
POU2F2	yes
POU2F3	yes
POU3F1	yes
POU3F2	yes
POU3F3	yes
POU3F4	yes
POU4F1	yes
POU4F2	yes
POU4F3	yes
POU5F1	yes
POU5F1B	yes
POU5F2	yes
POU6F1	yes
POU6F2	yes
HSF1	yes
HSF2	yes
HSF4	yes
HSF5	yes
HSFX1	yes
HSFX2	yes
HSFY1	yes
HSFY2	yes
IRF1	yes
IRF2	yes
IRF3	yes
IRF4	yes
IRF5	yes
IRF6	yes
IRF7	yes
IRF8	yes
IRF9	yes
MSANTD1	yes
MSANTD3	yes
NAIF1	yes
BORCS8-MEF2B	yes
MEF2A	yes
MEF2B	yes
MEF2C	yes
MEF2D	yes
SRF	yes
BAZ2B	yes
MBD2	yes
MBD3	yes
MBD4	yes
MBD6	yes
PIN1	yes
SETDB1	yes
SETDB2	yes
BAZ2A	yes
MECP2	yes
MBD1	yes
MTERF1	yes
MTERF2	yes
MTERF3	yes
MTERF4	yes
CDC5L	yes
DMTF1	yes
MSANTD4	yes
MYB	yes
MYBL1	yes
MYBL2	yes
MYPOP	yes
MYSM1	yes
SNAPC4	yes
TERB1	yes
TERF1	yes
TERF2	yes
TTF1	yes
ZZZ3	yes
MYRF	yes
MYRFL	yes
NFX1	yes
NFXL1	yes
AR	yes
ESR1	yes
ESR2	yes
ESRRA	yes
ESRRB	yes
ESRRG	yes
HNF4A	yes
HNF4G	yes
NR0B1	yes
NR1D1	yes
NR1D2	yes
NR1H2	yes
NR1H3	yes
NR1H4	yes
NR1I2	yes
NR1I3	yes
NR2C1	yes
NR2C2	yes
NR2E1	yes
NR2E3	yes
NR2F1	yes
NR2F2	yes
NR2F6	yes
NR3C1	yes
NR3C2	yes
NR4A1	yes
NR4A2	yes
NR4A3	yes
NR5A1	yes
NR5A2	yes
NR6A1	yes
PGR	yes
PPARA	yes
PPARD	yes
PPARG	yes
RARA	yes
RARB	yes
RARG	yes
RORA	yes
RORB	yes
RORC	yes
RXRA	yes
RXRB	yes
RXRG	yes
THRA	yes
THRB	yes
VDR	yes
AEBP1	yes
ARHGAP35	yes
BPTF	yes
BRF2	yes
CARF	yes
CC2D1A	yes
CEBPZ	yes
CENPA	yes
CENPS	yes
CENPT	yes
CENPX	yes
CGGBP1	yes
CHCHD3	yes
CPEB1	yes
CSRNP1	yes
CSRNP2	yes
CSRNP3	yes
DACH1	yes
DACH2	yes
DR1	yes
DRAP1	yes
GLMP	yes
GPBP1	yes
GPBP1L1	yes
GTF2B	yes
KCNIP3	yes
LTF	yes
MTF2	yes
NACC2	yes
NFE4	yes
NFYB	yes
NFYC	yes
NKRF	yes
NME2	yes
NRF1	yes
PA2G4	yes
PCGF2	yes
PCGF6	yes
PHF1	yes
PHF19 	yes
PLSCR1	yes
POU2AF1	yes
PREB	yes
PURA	yes
PURB	yes
PURG	yes
RAG1	yes
RBCK1	yes
REXO4	yes
SAFB	yes
SAFB2	yes
SCMH1	yes
SKI	yes
SKIL	yes
SKOR1	yes
SMYD3	yes
SNAPC2	yes
SNAPC5	yes
SON	yes
SPEN	yes
SPZ1	yes
TCF20	yes
TET2	yes
THYN1	yes
TMF1	yes
TOPORS	yes
TSC22D1	yes
XPA	yes
TP53	yes
TP63	yes
TP73	yes
PAX1	yes
PAX5	yes
PAX8	yes
PAX9	yes
LCOR	yes
LCORL	yes
PROX1	yes
PROX2	yes
NFAT5	yes
NFATC1	yes
NFATC2	yes
NFATC3	yes
NFATC4	yes
NFKB1	yes
NFKB2	yes
REL	yes
RELA	yes
RELB	yes
RFX1	yes
RFX2	yes
RFX3	yes
RFX4	yes
RFX5	yes
RFX6	yes
RFX7	yes
RFX8	yes
RUNX1	yes
RUNX2	yes
RUNX3	yes
AIRE	yes
DEAF1	yes
GMEB1	yes
