SYMBOL	interaction	target	Neighbourhood
TBC1D7	pp	C1	Cytosol
TBC1D8B	pp	C1	Cytosol
TBC1D9B	pp	C1	Cytosol
TBK1	pp	C1	Cytosol
TCP1	pp	C1	Cytosol
TCP11L2	pp	C1	Cytosol
TELO2	pp	C1	Cytosol
TESK2	pp	C1	Cytosol
TF	pp	C1	Cytosol
TFEB	pp	C1	Cytosol
TMCC2	pp	C1	Cytosol
TMCO4	pp	C1	Cytosol
TMOD3	pp	C1	Cytosol
TNK1	pp	C1	Cytosol
TOLLIP	pp	C1	Cytosol
TPD52	pp	C1	Cytosol
TPD52L1	pp	C1	Cytosol
TPD52L2	pp	C1	Cytosol
TRAPPC3	pp	C1	Cytosol
TRIM16L	pp	C1	Cytosol
TRIM26	pp	C1	Cytosol
TRIO	pp	C1	Cytosol
TRMT44	pp	C1	Cytosol
TSC1	pp	C1	Cytosol
TSC2	pp	C1	Cytosol
TSG101	pp	C1	Cytosol
TSR3	pp	C1	Cytosol
TTC12	pp	C1	Cytosol
TTC26	pp	C1	Cytosol
TTC28	pp	C1	Cytosol
TTC37	pp	C1	Cytosol
TTF2	pp	C1	Cytosol
TTI1	pp	C1	Cytosol
TTYH2	pp	C1	Cytosol
TUBG2	pp	C1	Cytosol
TUBGCP2	pp	C1	Cytosol
TUBGCP3	pp	C1	Cytosol
TUBGCP4	pp	C1	Cytosol
TUBGCP5	pp	C1	Cytosol
TUBGCP6	pp	C1	Cytosol
TUSC2	pp	C1	Cytosol
TXNDC17	pp	C1	Cytosol
TXNDC9	pp	C1	Cytosol
TXNL4B	pp	C1	Cytosol
TYW3	pp	C1	Cytosol
UBE2D2	pp	C1	Cytosol
UBE2Q1	pp	C1	Cytosol
UBE3C	pp	C1	Cytosol
UBR4	pp	C1	Cytosol
UBXN6	pp	C1	Cytosol
UCHL5	pp	C1	Cytosol
UHRF1BP1	pp	C1	Cytosol
ULK3	pp	C1	Cytosol
ULK4	pp	C1	Cytosol
URGCP	pp	C1	Cytosol
USH1C	pp	C1	Cytosol
USP21	pp	C1	Cytosol
USP40	pp	C1	Cytosol
USP45	pp	C1	Cytosol
USP9X	pp	C1	Cytosol
USP9Y	pp	C1	Cytosol
UXT	pp	C1	Cytosol
WASF2	pp	C1	Cytosol
WASF3	pp	C1	Cytosol
VAT1	pp	C1	Cytosol
WDFY3	pp	C1	Cytosol
WDR34	pp	C1	Cytosol
WDR37	pp	C1	Cytosol
WDR41	pp	C1	Cytosol
WDR6	pp	C1	Cytosol
WDR62	pp	C1	Cytosol
WDR7	pp	C1	Cytosol
